smoke,flame,gas,label
45,923,239,1
47,916,247,1
47,919,244,1
47,924,242,1
47,926,242,1
47,926,244,1
46,926,245,1
45,926,244,1
45,926,243,1
44,926,238,1
43,926,238,1
45,926,239,1
44,926,245,1
43,926,235,1
44,926,233,1
43,926,228,1
50,926,227,1
58,926,227,1
57,926,226,1
55,926,229,1
53,926,229,1
52,926,230,1
51,926,228,1
50,926,227,1
49,926,230,1
49,926,232,1
48,926,232,1
47,926,234,1
48,926,231,1
48,926,232,1
47,925,235,1
47,925,236,1
46,925,241,1
46,924,240,1
45,925,241,1
46,925,237,1
45,925,236,1
46,925,234,1
44,925,234,1
44,925,234,1
43,925,233,1
43,925,231,1
43,926,227,1
43,925,227,1
44,923,226,1
46,921,230,1
45,922,227,1
47,922,224,1
48,923,224,1
47,923,224,1
47,923,225,1
46,923,227,1
45,923,225,1
45,923,224,1
43,923,221,1
43,923,219,1
43,923,216,1
41,923,212,1
42,923,209,1
41,923,208,1
41,923,207,1
40,923,207,1
41,923,210,1
41,923,210,1
41,923,212,1
41,923,211,1
41,923,209,1
40,923,209,1
40,923,209,1
39,923,208,1
40,923,205,1
40,923,203,1
39,923,204,1
39,923,202,1
39,923,202,1
39,923,201,1
39,923,201,1
39,923,202,1
38,923,202,1
38,923,201,1
38,923,200,1
37,923,202,1
38,923,200,1
38,923,202,1
37,923,201,1
37,923,200,1
36,923,200,1
37,923,200,1
37,923,203,1
37,923,203,1
36,923,201,1
36,923,201,1
35,923,199,1
35,923,201,1
34,923,201,1
35,922,200,1
35,923,202,1
34,923,202,1
35,923,203,1
35,923,203,1
34,923,202,1
35,923,204,1
35,923,202,1
34,922,200,1
35,922,200,1
35,922,200,1
36,923,201,1
36,922,201,1
35,923,201,1
35,922,202,1
35,923,200,1
35,922,202,1
35,923,201,1
35,923,201,1
35,923,202,1
34,918,201,1
34,910,200,1
34,909,200,1
35,908,199,1
34,908,200,1
34,907,199,1
35,908,199,1
35,908,202,1
36,907,202,1
35,907,201,1
35,907,203,1
35,907,202,1
36,907,205,1
37,907,203,1
38,907,207,1
37,907,209,1
37,907,206,1
36,907,204,1
36,906,203,1
36,906,201,1
37,906,200,1
47,906,201,1
54,906,199,1
54,905,198,1
52,905,199,1
52,905,197,1
90,905,199,1
97,905,198,1
93,905,196,1
88,905,196,1
81,905,194,1
76,905,194,1
72,904,193,1
69,905,194,1
65,904,195,1
63,904,194,1
61,904,193,1
59,903,194,1
58,904,194,1
57,904,192,1
55,904,194,1
54,904,193,1
52,903,193,1
51,903,193,1
49,903,190,1
48,904,191,1
47,903,190,1
46,903,190,1
45,903,191,1
44,904,189,1
43,904,190,1
42,905,190,1
41,904,191,1
41,904,190,1
40,904,190,1
40,903,191,1
39,903,190,1
38,903,191,1
39,903,191,1
38,903,192,1
38,902,193,1
39,903,193,1
38,902,193,1
37,902,193,1
38,902,195,1
38,902,197,1
38,901,198,1
37,902,200,1
39,901,200,1
38,901,200,1
38,901,199,1
37,901,201,1
37,901,204,1
36,901,203,1
36,901,202,1
35,901,202,1
35,901,201,1
35,901,202,1
34,901,202,1
35,901,204,1
34,900,204,1
34,901,206,1
35,898,207,1
40,901,207,1
42,901,209,1
46,900,209,1
46,900,214,1
44,900,210,1
43,900,210,1
42,900,209,1
41,900,210,1
40,900,209,1
40,900,210,1
39,900,211,1
39,900,214,1
39,900,215,1
38,900,218,1
37,900,220,1
37,900,220,1
37,901,220,1
36,900,222,1
40,901,223,1
42,901,229,1
44,900,228,1
45,901,232,1
44,901,234,1
42,901,237,1
42,903,238,1
42,905,238,1
42,908,240,1
43,906,244,1
43,901,244,1
42,903,248,1
43,901,249,1
41,901,249,1
41,901,248,1
39,901,248,1
39,901,250,1
38,901,247,1
38,901,249,1
38,901,247,1
37,901,250,1
37,901,248,1
36,901,247,1
37,900,246,1
40,900,249,1
40,900,250,1
40,900,251,1
40,900,250,1
39,900,250,1
38,900,251,1
38,900,251,1
37,900,251,1
38,900,254,1
38,900,256,1
37,900,261,1
37,900,260,1
36,900,260,1
35,900,258,1
36,900,262,1
35,900,262,1
34,900,263,1
34,900,266,1
34,900,266,1
34,900,268,1
33,900,268,1
33,900,270,1
33,900,269,1
33,901,271,1
33,901,271,1
32,900,272,1
33,901,269,1
33,900,269,1
33,900,271,1
33,901,273,1
33,900,273,1
32,901,272,1
32,900,269,1
32,900,271,1
32,900,273,1
32,901,272,1
32,900,276,1
31,901,275,1
30,900,275,1
31,900,275,1
30,900,274,1
30,900,277,1
30,900,276,1
29,900,277,1
30,900,276,1
30,900,276,1
30,900,279,1
29,900,277,1
29,900,276,1
29,900,277,1
29,900,276,1
29,900,279,1
29,900,279,1
30,900,281,1
29,900,282,1
29,900,281,1
29,900,282,1
29,900,282,1
29,900,283,1
28,900,284,1
28,900,283,1
28,900,285,1
28,900,285,1
28,900,285,1
27,901,285,1
27,900,285,1
27,900,284,1
27,900,285,1
27,900,284,1
27,900,285,1
26,900,281,1
27,899,283,1
27,899,282,1
27,899,278,1
27,899,278,1
26,899,278,1
26,898,277,1
27,898,280,1
27,898,279,1
26,898,279,1
26,898,278,1
27,897,277,1
26,897,278,1
25,897,277,1
26,897,278,1
26,897,280,1
26,897,280,1
26,897,281,1
26,897,282,1
26,895,283,1
