smoke,flame,gas,label
606,936,512,0
541,942,502,0
496,942,493,0
466,942,487,0
436,943,482,0
412,942,470,0
393,943,465,0
379,943,461,0
365,943,460,0
352,943,458,0
342,943,456,0
332,943,453,0
322,943,450,0
312,943,449,0
303,943,447,0
298,943,445,0
293,943,446,0
288,943,447,0
284,943,447,0
277,943,448,0
274,943,450,0
266,943,451,0
259,943,448,0
257,943,450,0
247,943,449,0
242,943,445,0
238,943,445,0
235,943,444,0
231,943,443,0
231,943,446,0
226,943,445,0
220,944,442,0
218,944,442,0
218,944,445,0
217,943,445,0
211,944,446,0
208,944,446,0
203,944,442,0
201,944,444,0
197,944,441,0
193,944,440,0
192,944,438,0
190,944,439,0
188,944,437,0
186,944,439,0
184,944,438,0
182,944,436,0
181,944,439,0
181,945,437,0
181,944,440,0
179,944,442,0
175,944,440,0
174,944,440,0
171,945,441,0
169,945,438,0
165,945,436,0
166,945,436,0
165,945,435,0
163,945,436,0
161,945,434,0
159,945,434,0
157,945,434,0
157,945,432,0
156,945,432,0
156,945,432,0
156,945,434,0
154,945,434,0
150,945,432,0
149,945,431,0
149,945,434,0
149,945,433,0
148,945,434,0
146,945,434,0
145,945,435,0
146,945,436,0
143,945,433,0
140,946,433,0
140,946,430,0
140,945,431,0
139,945,432,0
140,946,432,0
138,946,433,0
136,946,432,0
136,946,431,0
135,946,431,0
135,945,433,0
134,945,431,0
133,946,432,0
130,946,429,0
129,946,428,0
127,946,428,0
126,946,425,0
125,946,427,0
125,946,424,0
125,946,427,0
125,946,429,0
126,946,428,0
127,946,431,0
125,946,429,0
125,946,431,0
124,946,433,0
122,946,430,0
122,946,430,0
121,946,428,0
121,946,429,0
121,947,429,0
121,946,430,0
119,948,429,0
118,950,429,0
116,950,429,0
116,950,426,0
115,950,427,0
114,950,426,0
114,950,427,0
114,949,427,0
112,949,425,0
112,947,424,0
113,946,424,0
114,947,424,0
112,947,427,0
112,947,425,0
109,947,424,0
112,947,424,0
113,947,427,0
113,946,430,0
113,947,429,0
112,947,431,0
111,946,428,0
110,946,430,0
110,946,429,0
110,947,429,0
109,947,427,0
108,946,426,0
105,946,425,0
106,946,423,0
105,946,423,0
103,946,421,0
104,946,421,0
103,946,422,0
102,946,418,0
102,946,418,0
101,946,415,0
100,946,415,0
100,946,413,0
100,946,416,0
101,945,416,0
100,945,416,0
101,946,418,0
100,946,418,0
100,946,418,0
99,946,416,0
98,946,416,0
97,945,415,0
97,945,415,0
96,946,414,0
96,946,413,0
95,945,412,0
95,946,411,0
93,945,410,0
93,945,407,0
93,945,408,0
93,945,409,0
93,945,406,0
92,945,407,0
91,945,404,0
91,945,405,0
92,945,404,0
92,945,406,0
94,945,406,0
93,945,409,0
93,945,409,0
94,945,408,0
94,945,413,0
95,945,417,0
94,945,417,0
95,945,418,0
95,945,417,0
94,945,418,0
94,945,416,0
94,945,418,0
93,945,415,0
93,945,416,0
92,945,416,0
90,945,413,0
90,945,413,0
88,945,410,0
86,945,409,0
85,945,405,0
86,946,406,0
85,946,405,0
85,945,406,0
85,945,406,0
85,945,404,0
84,945,406,0
85,945,405,0
85,945,407,0
85,945,405,0
85,945,407,0
85,946,406,0
85,946,406,0
84,946,408,0
85,946,407,0
86,947,409,0
85,947,408,0
85,948,411,0
85,949,412,0
83,948,410,0
83,947,409,0
83,947,408,0
83,946,408,0
84,946,406,0
82,945,408,0
82,945,404,0
83,945,405,0
81,945,402,0
80,945,401,0
80,945,401,0
81,945,400,0
81,945,401,0
81,945,400,0
82,945,403,0
81,945,402,0
80,946,399,0
79,944,397,0
79,944,397,0
80,944,395,0
79,944,396,0
79,943,395,0
78,943,394,0
77,944,393,0
77,943,392,0
76,944,388,0
75,943,386,0
75,943,388,0
76,943,387,0
77,943,394,0
77,943,395,0
78,943,398,0
78,943,398,0
78,943,400,0
78,943,401,0
78,943,399,0
78,943,401,0
77,943,399,0
77,943,399,0
75,943,396,0
76,942,396,0
75,943,394,0
75,943,397,0
76,943,397,0
76,942,399,0
76,943,397,0
75,943,399,0
74,943,396,0
75,943,398,0
75,943,399,0
77,942,404,0
74,942,401,0
74,942,399,0
73,942,398,0
73,942,396,0
73,942,398,0
73,942,397,0
73,942,399,0
73,942,396,0
73,942,398,0
72,942,396,0
72,942,396,0
71,942,393,0
70,942,391,0
70,942,388,0
71,942,385,0
70,942,385,0
71,942,387,0
70,942,389,0
70,942,386,0
70,942,387,0
70,942,386,0
70,942,388,0
70,942,392,0
70,942,392,0
69,942,393,0
69,942,391,0
69,942,391,0
68,942,389,0
68,942,388,0
68,942,385,0
69,942,389,0
69,942,391,0
69,942,392,0
68,942,393,0
68,942,393,0
69,942,396,0
69,943,396,0
69,942,398,0
69,942,397,0
68,942,398,0
68,942,397,0
68,942,399,0
67,942,401,0
67,942,400,0
66,942,401,0
66,942,400,0
67,942,401,0
66,942,400,0
67,942,402,0
66,942,400,0
66,942,401,0
66,942,399,0
66,943,402,0
66,942,404,0
65,942,403,0
65,942,402,0
65,942,400,0
65,942,401,0
65,943,399,0
65,942,402,0
65,943,400,0
64,942,401,0
64,942,403,0
64,942,400,0
65,942,403,0
66,942,404,0
65,942,406,0
65,942,406,0
64,942,404,0
64,942,404,0
64,942,404,0
64,942,405,0
64,943,403,0
64,943,405,0
64,942,404,0
64,943,406,0
65,942,408,0
65,943,407,0
65,942,408,0
66,943,410,0
66,943,410,0
65,943,411,0
65,943,410,0
65,942,411,0
65,943,411,0
65,943,413,0
65,943,411,0
63,943,411,0
63,943,409,0
63,943,407,0
63,943,409,0
63,943,410,0
63,943,411,0
62,943,407,0
62,943,407,0
62,943,407,0
62,943,405,0
62,943,405,0
63,943,404,0
63,943,406,0
63,943,404,0
61,943,404,0
61,943,403,0
61,943,402,0
62,943,402,0
61,943,402,0
61,943,404,0
60,943,402,0
60,943,405,0
61,943,405,0
61,943,407,0
61,943,408,0
61,943,406,0
60,943,406,0
60,943,407,0
59,943,405,0
59,943,406,0
59,943,406,0
59,943,406,0
60,943,408,0
59,943,408,0
59,943,409,0
60,944,408,0
61,943,410,0
60,943,414,0
60,943,412,0
60,943,412,0
60,943,411,0
61,943,413,0
62,944,411,0
62,943,414,0
62,943,417,0
63,943,416,0
62,943,417,0
62,944,415,0
62,944,416,0
61,944,416,0
60,943,414,0
60,944,415,0
61,943,412,0
61,943,414,0
60,943,414,0
61,943,416,0
61,943,417,0
61,944,416,0
61,944,417,0
62,943,417,0
62,943,419,0
61,943,421,0
61,943,418,0
61,943,419,0
60,944,420,0
60,944,418,0
59,943,415,0
57,944,412,0
58,944,413,0
57,944,413,0
56,944,410,0
56,944,411,0
56,943,409,0
56,943,410,0
56,943,409,0
57,944,409,0
56,944,411,0
57,944,409,0
56,944,410,0
56,944,408,0
56,944,409,0
56,944,410,0
56,944,409,0
56,944,410,0
56,944,407,0
56,944,408,0
56,944,406,0
56,944,407,0
55,944,407,0
55,944,406,0
56,944,407,0
57,944,407,0
56,944,409,0
55,944,411,0
56,944,409,0
56,944,409,0
56,944,410,0
57,944,413,0
57,944,414,0
56,944,415,0
55,944,413,0
55,944,413,0
55,944,412,0
56,944,413,0
56,945,414,0
55,944,414,0
56,944,416,0
56,944,417,0
55,944,415,0
54,944,414,0
54,944,414,0
54,944,414,0
54,945,414,0
54,945,414,0
55,944,416,0
54,944,414,0
54,944,415,0
54,945,417,0
53,944,416,0
55,944,419,0
57,945,418,0
57,945,420,0
56,945,417,0
55,945,418,0
54,945,416,0
54,945,412,0
54,945,412,0
53,945,409,0
53,945,409,0
52,945,408,0
53,945,408,0
53,945,410,0
53,945,409,0
52,945,410,0
52,945,408,0
52,945,408,0
52,945,410,0
51,945,408,0
51,945,409,0
52,945,409,0
52,945,413,0
52,945,414,0
52,945,412,0
51,945,413,0
52,945,412,0
51,945,413,0
51,946,412,0
52,945,413,0
52,946,414,0
52,946,413,0
52,946,414,0
52,946,412,0
52,946,411,0
51,946,411,0
51,946,407,0
50,946,407,0
50,946,407,0
51,947,408,0
50,947,407,0
51,948,408,0
51,948,410,0
50,947,408,0
50,947,410,0
50,947,408,0
50,947,409,0
51,946,410,0
51,947,411,0
51,947,413,0
50,947,411,0
50,947,413,0
51,947,411,0
51,947,412,0
51,947,412,0
50,947,412,0
50,947,411,0
50,947,410,0
50,948,412,0
50,949,411,0
50,949,412,0
50,949,410,0
50,947,411,0
49,947,412,0
49,948,410,0
50,948,412,0
48,947,411,0
49,947,410,0
49,947,409,0
48,947,409,0
48,947,409,0
48,947,407,0
47,947,408,0
48,947,406,0
47,947,406,0
48,947,405,0
47,947,405,0
48,947,403,0
47,947,405,0
47,947,403,0
48,947,407,0
48,948,405,0
48,948,406,0
47,949,406,0
47,949,405,0
48,950,407,0
48,950,408,0
47,949,409,0
48,948,410,0
48,947,410,0
47,948,410,0
47,948,408,0
48,947,412,0
48,948,412,0
48,948,412,0
48,948,415,0
48,947,414,0
48,947,415,0
47,948,413,0
49,950,415,0
48,951,416,0
49,951,416,0
48,951,418,0
48,950,414,0
47,948,414,0
48,948,409,0
48,948,412,0
49,948,415,0
49,948,414,0
48,948,415,0
47,947,416,0
48,947,415,0
48,947,416,0
48,947,414,0
48,947,416,0
48,947,418,0
48,946,417,0
48,947,415,0
48,946,413,0
47,947,415,0
47,947,412,0
47,947,413,0
47,946,413,0
47,947,410,0
47,946,409,0
47,947,407,0
47,947,410,0
47,946,407,0
47,947,411,0
47,946,409,0
47,947,408,0
47,947,410,0
46,947,409,0
47,946,409,0
47,947,409,0
46,946,410,0
47,946,408,0
46,946,408,0
47,947,408,0
47,947,409,0
46,947,409,0
45,947,404,0
45,947,403,0
45,947,399,0
45,947,398,0
45,947,395,0
44,947,393,0
45,947,394,0
45,947,392,0
45,947,391,0
45,947,391,0
44,947,391,0
45,947,392,0
46,947,392,0
46,947,395,0
46,947,395,0
45,947,396,0
46,947,397,0
46,947,400,0
47,947,402,0
46,947,404,0
46,947,402,0
46,947,404,0
46,947,405,0
46,947,404,0
46,947,404,0
46,949,402,0
45,948,402,0
46,948,400,0
46,948,402,0
47,948,403,0
46,947,405,0
46,947,402,0
46,946,403,0
46,946,404,0
47,947,405,0
47,946,406,0
47,946,408,0
46,946,409,0
46,946,408,0
46,946,408,0
46,946,407,0
45,945,408,0
46,946,406,0
46,946,408,0
45,946,406,0
45,946,407,0
45,945,407,0
45,945,406,0
45,945,405,0
46,946,405,0
46,946,405,0
45,945,405,0
46,945,405,0
46,946,404,0
46,945,405,0
46,945,404,0
46,945,404,0
45,945,403,0
46,945,402,0
46,945,399,0
45,945,397,0
45,945,398,0
46,945,403,0
46,945,403,0
46,945,404,0
47,945,405,0
48,945,407,0
47,945,410,0
47,945,409,0
47,945,411,0
46,945,410,0
46,945,410,0
47,945,408,0
46,945,408,0
47,945,404,0
46,945,404,0
46,945,401,0
46,945,401,0
46,945,401,0
45,945,399,0
46,945,399,0
46,945,398,0
46,945,401,0
45,945,396,0
45,945,394,0
44,945,390,0
45,945,389,0
44,945,386,0
44,945,384,0
44,945,378,0
44,945,378,0
44,946,377,0
44,945,379,0
46,945,383,0
48,945,387,0
47,945,386,0
49,945,380,0
48,945,376,0
50,945,376,0
52,945,380,0
53,945,389,0
53,945,391,0
52,945,394,0
53,945,398,0
54,945,401,0
54,945,401,0
54,945,402,0
54,945,402,0
53,945,402,0
53,945,401,0
55,945,403,0
53,945,399,0
55,945,403,0
53,945,400,0
51,948,400,0
50,948,395,0
48,947,391,0
49,946,387,0
48,946,384,0
48,946,381,0
48,947,383,0
47,947,384,0
47,946,386,0
46,946,388,0
46,947,386,0
46,946,383,0
46,947,384,0
47,945,388,0
47,944,393,0
48,944,399,0
52,944,404,0
52,944,406,0
52,943,403,0
54,944,407,0
55,944,408,0
55,944,409,0
54,946,409,0
54,943,410,0
55,944,409,0
54,945,408,0
52,944,405,0
51,943,403,0
49,943,399,0
48,943,398,0
48,943,395,0
46,942,388,0
46,942,386,0
46,942,382,0
45,943,382,0
44,942,379,0
44,942,380,0
43,942,378,0
43,942,379,0
42,942,376,0
42,942,376,0
43,942,379,0
43,942,381,0
44,942,382,0
46,941,383,0
47,942,389,0
50,944,394,0
51,949,396,0
51,949,391,0
51,949,394,0
49,949,388,0
49,949,380,0
47,950,375,0
47,949,373,0
47,949,371,0
46,949,368,0
45,948,363,0
45,949,362,0
45,949,359,0
45,948,360,0
45,947,358,0
47,949,359,0
51,949,363,0
54,947,376,0
54,944,380,0
55,943,385,0
55,946,390,0
54,947,390,0
53,945,390,0
52,943,386,0
51,946,387,0
50,949,384,0
49,949,381,0
49,947,378,0
47,945,377,0
47,948,371,0
47,948,374,0
49,948,381,0
51,947,391,0
53,949,398,0
54,949,400,0
56,949,403,0
54,948,400,0
53,946,399,0
53,942,400,0
52,945,400,0
50,949,397,0
49,949,393,0
48,949,393,0
48,949,390,0
48,949,391,0
48,949,390,0
47,949,392,0
48,949,390,0
47,949,392,0
46,949,386,0
47,948,386,0
46,949,390,0
48,949,391,0
47,947,395,0
46,948,390,0
46,948,386,0
45,948,377,0
44,948,372,0
45,948,368,0
45,945,372,0
45,947,372,0
44,949,370,0
44,949,369,0
44,949,373,0
46,949,377,0
45,949,381,0
45,948,379,0
44,948,378,0
44,949,375,0
43,949,366,0
43,949,360,0
43,949,357,0
43,949,354,0
43,949,350,0
43,949,351,0
43,949,352,0
44,949,364,0
45,949,372,0
45,949,381,0
44,949,373,0
44,949,364,0
43,949,363,0
42,949,365,0
43,949,366,0
44,949,374,0
43,949,375,0
43,949,380,0
43,949,379,0
43,949,383,0
42,949,381,0
42,949,384,0
42,949,381,0
42,949,382,0
42,949,379,0
41,949,374,0
41,949,379,0
41,949,372,0
41,949,367,0
40,949,361,0
40,949,358,0
40,949,352,0
39,949,353,0
40,949,352,0
40,949,356,0
40,949,359,0
40,949,365,0
39,949,363,0
38,949,360,0
38,949,357,0
39,949,360,0
39,949,361,0
37,949,351,0
37,949,345,0
37,949,340,0
38,949,345,0
38,949,340,0
38,949,340,0
39,949,342,0
38,949,348,0
39,949,351,0
39,949,350,0
39,948,349,0
38,948,344,0
38,948,342,0
38,949,340,0
39,949,345,0
43,949,351,0
43,949,356,0
42,949,354,0
42,949,352,0
42,949,352,0
42,949,353,0
41,949,352,0
40,949,351,0
40,949,349,0
41,949,354,0
40,949,359,0
40,948,361,0
40,948,361,0
39,947,357,0
39,945,353,0
39,942,351,0
40,946,355,0
38,946,350,0
39,945,349,0
38,944,348,0
38,945,346,0
38,946,342,0
38,945,342,0
38,945,344,0
38,947,345,0
37,949,342,0
37,949,336,0
37,948,337,0
36,949,331,0
36,949,332,0
36,950,329,0
36,950,332,0
36,950,330,0
36,950,333,0
35,950,333,0
36,949,338,0
37,950,341,0
37,949,346,0
37,950,350,0
37,950,352,0
38,950,357,0
38,950,361,0
38,950,368,0
38,950,370,0
38,950,373,0
37,950,370,0
37,950,373,0
37,949,377,0
37,950,382,0
37,950,382,0
36,950,382,0
36,950,380,0
37,950,379,0
36,950,382,0
37,950,387,0
36,950,389,0
37,950,386,0
36,950,385,0
35,950,379,0
36,950,376,0
36,950,374,0
36,950,376,0
36,950,371,0
36,950,374,0
36,950,373,0
36,950,373,0
35,950,366,0
36,950,362,0
35,950,364,0
36,950,366,0
35,950,364,0
35,950,364,0
35,950,367,0
35,950,366,0
35,950,369,0
35,950,369,0
35,950,376,0
36,950,383,0
36,950,386,0
36,951,388,0
35,950,392,0
35,951,386,0
36,950,387,0
36,950,387,0
35,950,385,0
35,950,383,0
36,951,383,0
36,950,385,0
35,950,385,0
35,950,384,0
35,951,382,0
36,950,381,0
35,950,380,0
35,945,381,0
35,941,382,0
35,947,384,0
36,949,385,0
34,950,383,0
35,951,378,0
35,951,378,0
35,950,378,0
35,950,378,0
35,950,386,0
35,950,386,0
35,950,388,0
35,950,390,0
36,951,393,0
35,950,392,0
36,950,394,0
36,950,394,0
35,950,394,0
35,951,388,0
35,950,387,0
35,951,385,0
35,950,389,0
35,951,385,0
35,951,387,0
35,951,385,0
34,951,381,0
34,951,381,0
34,951,376,0
34,951,376,0
33,951,374,0
33,951,375,0
34,950,376,0
33,951,379,0
34,951,377,0
34,951,381,0
34,951,383,0
33,951,386,0
34,951,384,0
34,951,382,0
33,951,380,0
34,951,381,0
33,951,381,0
33,951,379,0
34,951,377,0
33,951,373,0
33,951,371,0
33,951,364,0
33,951,364,0
32,951,362,0
33,951,362,0
33,951,364,0
33,951,362,0
32,951,363,0
33,951,361,0
32,951,360,0
33,951,362,0
32,951,366,0
32,951,363,0
32,951,361,0
32,951,360,0
32,951,357,0
33,951,357,0
33,951,358,0
33,951,360,0
33,951,357,0
33,951,359,0
34,951,364,0
34,951,370,0
34,951,371,0
34,951,376,0
34,951,376,0
34,951,379,0
34,951,382,0
34,951,382,0
34,951,376,0
34,951,371,0
34,951,369,0
34,951,367,0
34,951,368,0
34,951,366,0
35,951,370,0
34,951,368,0
35,951,372,0
35,950,376,0
35,942,376,0
36,950,378,0
36,947,381,0
35,942,378,0
34,941,374,0
34,940,368,0
35,940,366,0
37,940,373,0
37,940,367,0
36,940,361,0
34,940,357,0
34,940,352,0
35,940,355,0
36,940,354,0
35,940,352,0
35,941,345,0
35,940,343,0
35,940,341,0
36,940,342,0
35,941,341,0
35,941,337,0
35,941,335,0
36,941,335,0
37,941,337,0
37,941,340,0
37,941,338,0
36,941,341,0
35,941,333,0
35,941,330,0
34,941,328,0
35,941,324,0
34,941,320,0
34,941,317,0
34,941,318,0
34,941,314,0
33,941,317,0
34,941,317,0
34,941,320,0
35,941,322,0
35,941,324,0
35,942,325,0
34,941,330,0
35,942,332,0
35,942,337,0
34,942,335,0
35,942,337,0
35,942,331,0
35,942,335,0
34,942,336,0
35,942,338,0
34,942,331,0
35,945,333,0
35,947,334,0
34,949,333,0
34,951,334,0
33,951,331,0
32,951,333,0
32,949,330,0
32,946,328,0
32,943,327,0
32,942,329,0
31,942,326,0
32,942,328,0
33,942,336,0
32,942,334,0
32,942,329,0
31,942,324,0
32,942,322,0
32,942,319,0
32,942,319,0
32,942,318,0
32,942,315,0
31,942,314,0
32,943,310,0
32,943,311,0
31,945,309,0
31,943,309,0
31,944,308,0
31,946,310,0
31,950,310,0
31,951,310,0
31,951,308,0
31,951,310,0
31,950,310,0
31,949,312,0
31,946,313,0
31,947,308,0
31,948,310,0
31,948,315,0
31,946,316,0
31,945,317,0
31,945,316,0
31,944,312,0
31,945,311,0
31,946,308,0
32,946,309,0
31,945,307,0
31,945,307,0
31,944,306,0
31,945,307,0
31,944,307,0
32,944,309,0
31,944,312,0
31,944,313,0
32,944,317,0
32,944,321,0
32,944,326,0
32,944,330,0
32,944,331,0
32,944,331,0
32,944,334,0
32,944,338,0
32,944,339,0
32,944,342,0
32,944,341,0
32,944,349,0
32,944,346,0
32,944,344,0
32,944,344,0
32,945,339,0
32,946,339,0
32,948,338,0
32,947,339,0
32,947,335,0
32,947,340,0
32,949,345,0
31,948,350,0
31,947,352,0
32,945,355,0
32,944,357,0
31,944,361,0
31,943,363,0
32,944,360,0
31,943,362,0
31,943,360,0
31,943,360,0
31,943,361,0
31,943,362,0
31,943,361,0
31,943,360,0
31,943,357,0
31,943,356,0
31,943,357,0
32,943,359,0
32,943,361,0
31,943,359,0
32,943,359,0
32,943,358,0
32,943,356,0
31,943,357,0
31,943,357,0
31,943,356,0
31,943,353,0
30,943,349,0
31,943,350,0
30,943,346,0
29,943,344,0
30,943,339,0
30,943,337,0
30,943,335,0
30,943,337,0
31,943,334,0
29,943,332,0
30,943,326,0
30,943,328,0
29,943,326,0
30,943,327,0
30,943,324,0
30,943,322,0
29,943,320,0
29,943,319,0
30,943,323,0
30,943,327,0
30,943,334,0
30,943,337,0
31,945,341,0
31,951,343,0
31,952,346,0
31,952,344,0
31,952,344,0
31,951,340,0
32,951,346,0
31,951,346,0
32,951,350,0
32,950,351,0
34,953,352,0
38,953,362,0
50,949,376,1
76,942,384,1
71,944,375,1
67,944,374,1
64,944,372,1
101,944,382,1
158,944,389,1
216,944,395,1
253,944,397,1
245,944,400,1
305,944,403,1
306,944,407,1
298,944,405,1
284,943,406,1
243,944,402,1
