smoke,flame,gas,label
41,890,293,1
42,892,298,1
42,893,298,1
43,892,297,1
42,893,298,1
42,893,297,1
42,894,297,1
42,895,300,1
42,896,296,1
41,898,299,1
41,899,299,1
41,899,296,1
41,892,298,1
42,906,300,1
44,907,301,1
43,910,306,1
43,909,301,1
42,909,303,1
41,910,303,1
40,913,305,1
41,915,306,1
40,917,309,1
40,918,311,1
39,916,310,1
39,912,311,1
38,908,312,1
37,909,315,1
37,911,316,1
37,914,315,1
37,916,318,1
37,918,321,1
37,919,321,1
37,920,324,1
36,921,325,1
37,921,327,1
36,922,329,1
36,922,330,1
36,922,328,1
36,921,329,1
35,921,328,1
36,921,330,1
35,921,331,1
34,921,330,1
35,922,330,1
35,922,333,1
34,922,333,1
34,922,327,1
34,922,324,1
32,922,318,1
33,922,316,1
32,922,316,1
32,922,314,1
32,922,315,1
32,922,314,1
32,922,311,1
32,922,310,1
32,922,312,1
32,922,312,1
32,922,311,1
33,922,310,1
33,921,311,1
33,921,311,1
33,921,309,1
33,919,313,1
33,917,311,1
33,918,315,1
33,919,314,1
33,920,311,1
33,918,309,1
33,916,309,1
33,912,308,1
32,909,306,1
32,910,303,1
32,908,302,1
32,904,296,1
32,902,292,1
31,908,287,1
30,911,280,1
31,913,276,1
30,915,273,1
30,917,269,1
31,918,272,1
31,915,266,1
31,912,267,1
31,912,264,1
31,913,256,1
31,909,248,1
31,904,243,1
32,903,239,1
31,903,234,1
31,903,233,1
31,901,236,1
31,899,228,1
31,904,229,1
31,908,229,1
30,908,228,1
31,903,225,1
31,897,224,1
31,893,225,1
31,892,223,1
32,893,224,1
32,895,225,1
31,908,223,1
31,914,225,1
31,917,221,1
31,918,219,1
31,919,217,1
32,919,218,1
32,919,218,1
32,919,217,1
32,919,218,1
32,919,216,1
31,919,217,1
32,919,217,1
31,919,216,1
30,918,217,1
30,905,212,1
