smoke,flame,gas,label
431,51,719,1
368,40,718,0
333,28,718,0
306,35,717,0
286,42,717,0
270,41,717,0
256,41,717,0
245,41,716,0
236,41,716,0
227,41,716,0
220,41,715,0
213,41,716,0
208,40,716,0
202,41,716,0
197,40,715,0
194,41,716,0
189,40,715,0
185,40,716,0
181,41,715,0
178,40,715,0
176,40,715,0
173,40,715,0
170,40,715,0
168,40,715,0
165,39,715,0
162,39,714,0
159,39,714,0
158,40,715,0
156,39,714,0
155,39,714,0
153,39,715,0
151,39,713,0
149,39,715,0
148,40,713,0
146,40,714,0
145,40,714,0
144,40,714,0
143,40,713,0
142,40,714,0
140,40,713,0
139,40,713,0
137,40,713,0
137,40,713,0
136,40,714,0
134,40,714,0
134,40,713,0
132,40,713,0
132,39,713,0
131,39,714,0
130,39,713,0
129,39,714,0
129,39,713,0
128,39,714,0
129,38,713,0
127,39,714,0
127,39,714,0
126,39,712,0
124,39,714,0
123,39,713,0
123,39,714,0
122,39,713,0
122,39,713,0
122,39,713,0
121,39,714,0
119,38,714,0
118,38,713,0
117,38,714,0
117,38,713,0
117,37,713,0
115,37,712,0
115,36,712,0
114,31,713,0
114,41,713,0
113,127,718,0
112,227,725,1
112,363,737,1
128,289,731,1
147,304,732,1
163,349,737,1
178,452,748,1
183,452,749,1
205,425,746,1
241,446,749,1
270,460,749,1
282,448,749,1
275,453,750,1
304,445,749,1
305,438,748,1
289,385,741,1
274,383,742,1
262,421,745,1
251,414,744,1
248,437,746,1
234,430,745,1
222,411,742,1
236,386,741,1
268,449,747,1
264,414,742,1
274,419,744,1
271,413,742,1
260,405,740,1
258,417,742,1
263,422,742,1
244,426,743,1
226,379,737,1
214,357,734,1
204,364,735,1
205,397,738,1
217,389,737,1
266,379,736,1
306,351,734,1
334,391,737,1
331,373,735,1
362,390,736,1
353,422,740,1
338,384,736,1
320,407,737,1
305,464,742,1
287,475,744,1
278,533,750,1
275,524,749,1
306,495,746,1
298,556,752,1
295,505,747,1
301,474,743,1
302,525,748,1
289,450,739,1
278,478,742,1
268,431,736,1
267,391,728,1
263,392,704,1
252,360,677,1
241,363,651,1
238,376,636,1
234,364,616,1
222,332,593,1
213,332,582,1
204,327,567,1
197,332,556,1
191,312,544,1
187,307,532,1
182,307,522,1
178,289,511,1
176,313,511,1
177,317,508,1
178,318,504,1
188,347,506,1
194,351,501,1
240,367,506,1
248,349,499,1
242,327,490,1
227,330,483,1
213,315,467,1
202,305,456,1
193,322,449,1
187,309,444,1
181,303,437,1
176,314,436,1
172,338,435,1
169,285,421,1
165,298,419,1
161,282,416,1
159,315,422,1
157,299,416,1
155,286,407,1
154,299,409,1
153,282,401,1
153,266,398,1
155,254,392,1
157,579,458,1
159,848,501,1
158,897,506,1
158,916,509,1
157,749,474,1
156,651,459,1
155,490,419,1
153,557,435,1
150,351,388,1
147,344,387,1
145,289,374,1
143,306,380,1
141,437,401,1
139,521,424,1
138,511,420,1
137,456,405,1
136,428,400,1
136,403,391,1
134,391,391,1
134,336,375,1
135,399,389,1
153,644,452,1
156,693,465,1
165,688,461,1
178,671,460,1
173,558,432,1
166,443,399,1
159,426,391,1
154,390,384,1
151,11,326,1
149,8,323,1
148,9,320,0
146,5,316,0
143,8,314,0
141,8,314,0
138,8,310,0
135,8,309,0
132,7,306,0
130,7,304,0
127,7,298,0
